Time [s],Packet ID,MOSI,MISO
4.25689554166667,166,c (0x63),c (0x63)
4.25719804166667,167,e (0x65),e (0x65)
4.25750054166667,168,g (0x67),g (0x67)
4.25780304166667,169,i (0x69),i (0x69)
4.25810554166667,170,k (0x6B),k (0x6B)
4.25840804166667,171,m (0x6D),m (0x6D)
4.25871054166667,172,o (0x6F),o (0x6F)
4.25901304166667,173,q (0x71),q (0x71)
4.25931554166667,174,s (0x73),s (0x73)
4.25961808333333,175,u (0x75),u (0x75)
4.25992058333333,176,w (0x77),w (0x77)
4.26022308333333,177,y (0x79),y (0x79)
4.26052558333333,178,{ (0x7B),{ (0x7B)
4.26082795833333,179,A (0x41),A (0x41)
4.2611305,180,C (0x43),C (0x43)
4.261433,181,E (0x45),E (0x45)
4.2617355,182,G (0x47),G (0x47)
4.262038,183,I (0x49),I (0x49)
4.2623405,184,K (0x4B),K (0x4B)
4.262643,185,M (0x4D),M (0x4D)
4.2629455,186,O (0x4F),O (0x4F)
4.263248,187,Q (0x51),Q (0x51)
4.2635505,188,S (0x53),S (0x53)
4.26385304166667,189,U (0x55),U (0x55)
4.26415554166667,190,W (0x57),W (0x57)
4.26445804166667,191,Y (0x59),Y (0x59)
4.26476054166667,192,[ (0x5B),[ (0x5B)
4.26506304166667,193,] (0x5D),] (0x5D)
4.26536554166667,194,_ (0x5F),_ (0x5F)
4.26566804166667,195,a (0x61),a (0x61)
4.26597054166667,196,c (0x63),c (0x63)
4.26627304166667,197,e (0x65),e (0x65)
4.26657554166667,198,g (0x67),g (0x67)
4.26687808333333,199,i (0x69),i (0x69)
4.26718058333333,200,k (0x6B),k (0x6B)
4.26748308333333,201,m (0x6D),m (0x6D)
4.26778558333333,202,o (0x6F),o (0x6F)
4.26808808333333,203,q (0x71),q (0x71)
4.26839058333333,204,s (0x73),s (0x73)
4.26869308333333,205,u (0x75),u (0x75)
4.26899558333333,206,w (0x77),w (0x77)
4.26929808333333,207,y (0x79),y (0x79)
4.269600625,208,{ (0x7B),{ (0x7B)
4.269903,209,A (0x41),A (0x41)
4.2702055,210,C (0x43),C (0x43)
4.270508,211,E (0x45),E (0x45)
4.2708105,212,G (0x47),G (0x47)
4.27111304166667,213,I (0x49),I (0x49)
4.27141554166667,214,K (0x4B),K (0x4B)
4.27171804166667,215,M (0x4D),M (0x4D)
4.27202054166667,216,O (0x4F),O (0x4F)
4.27232304166667,217,Q (0x51),Q (0x51)
4.27262554166667,218,S (0x53),S (0x53)
4.27292804166667,219,U (0x55),U (0x55)
4.27323054166667,220,W (0x57),W (0x57)
4.27353304166667,221,Y (0x59),Y (0x59)
4.27383558333333,222,[ (0x5B),[ (0x5B)
4.27413808333333,223,] (0x5D),] (0x5D)
4.27444058333333,224,_ (0x5F),_ (0x5F)
4.27474308333333,225,a (0x61),a (0x61)
4.27504558333333,226,c (0x63),c (0x63)
